batch_size,num_hist,frameskip,T,num_episodes,num_workers,slices,train_samples,steps,training_ok,rollout_ok,vram_train_mib,vram_train_pct,vram_val_peak_mib,vram_val_peak_pct,val_overhead_pct,vram_ok,score,attention_seq_len,attention_mib
16,3,4,22,500,2,7,3150,197,True,False,26641.0,108.5,30198.8,122.9,13.4,False,-1.0,588,5577.6
16,3,4,22,1000,2,7,6300,394,True,False,26641.0,108.5,30198.8,122.9,13.4,False,-1.0,588,5577.6
32,3,4,22,500,2,7,3150,99,True,False,50723.3,206.5,57304.7,233.3,13.0,False,-1.0,588,11155.1
32,3,4,22,1000,2,7,6300,197,True,False,50723.3,206.5,57304.7,233.3,13.0,False,-1.0,588,11155.1
4,3,5,22,500,2,3,1350,338,True,False,8579.3,34.9,9867.8,40.2,15.0,True,-1.0,588,1394.4
4,3,5,22,1000,2,3,2700,675,True,False,8579.3,34.9,9867.8,40.2,15.0,True,-1.0,588,1394.4
8,3,5,22,500,2,3,1350,169,True,False,14599.9,59.4,16644.3,67.8,14.0,True,-1.0,588,2788.8
8,3,5,22,1000,2,3,2700,338,True,False,14599.9,59.4,16644.3,67.8,14.0,True,-1.0,588,2788.8
16,3,5,22,500,2,3,1350,85,True,False,26641.0,108.5,30197.2,122.9,13.3,False,-1.0,588,5577.6
16,3,5,22,1000,2,3,2700,169,True,False,26641.0,108.5,30197.2,122.9,13.3,False,-1.0,588,5577.6
32,3,5,22,500,2,3,1350,43,True,False,50723.3,206.5,57303.1,233.3,13.0,False,-1.0,588,11155.1
32,3,5,22,1000,2,3,2700,85,True,False,50723.3,206.5,57303.1,233.3,13.0,False,-1.0,588,11155.1
4,4,1,22,500,2,18,8100,2025,True,True,10898.6,44.4,12637.4,51.4,16.0,True,4000.05,784,2478.9
4,4,1,22,1000,2,18,16200,4050,True,True,10898.6,44.4,12637.4,51.4,16.0,True,4000.02,784,2478.9
8,4,1,22,500,2,18,8100,1013,True,True,19238.5,78.3,22019.8,89.6,14.5,True,4000.1,784,4957.8
8,4,1,22,1000,2,18,16200,2025,True,True,19238.5,78.3,22019.8,89.6,14.5,True,4000.05,784,4957.8
16,4,1,22,500,2,18,8100,507,True,True,35918.1,146.2,40784.7,166.0,13.5,False,-1.0,784,9915.7
16,4,1,22,1000,2,18,16200,1013,True,True,35918.1,146.2,40784.7,166.0,13.5,False,-1.0,784,9915.7
32,4,1,22,500,2,18,8100,254,True,True,69277.5,282.0,78314.4,318.8,13.0,False,-1.0,784,19831.4
32,4,1,22,1000,2,18,16200,507,True,True,69277.5,282.0,78314.4,318.8,13.0,False,-1.0,784,19831.4
4,4,2,22,500,2,13,5850,1463,True,True,10898.6,44.4,12619.5,51.4,15.8,True,4000.07,784,2478.9
4,4,2,22,1000,2,13,11700,2925,True,True,10898.6,44.4,12619.5,51.4,15.8,True,4000.03,784,2478.9
8,4,2,22,500,2,13,5850,732,True,True,19238.5,78.3,22001.9,89.6,14.4,True,4000.14,784,4957.8
8,4,2,22,1000,2,13,11700,1463,True,True,19238.5,78.3,22001.9,89.6,14.4,True,4000.07,784,4957.8
16,4,2,22,500,2,13,5850,366,True,True,35918.1,146.2,40766.8,166.0,13.5,False,-1.0,784,9915.7
16,4,2,22,1000,2,13,11700,732,True,True,35918.1,146.2,40766.8,166.0,13.5,False,-1.0,784,9915.7
32,4,2,22,500,2,13,5850,183,True,True,69277.5,282.0,78296.5,318.7,13.0,False,-1.0,784,19831.4
32,4,2,22,1000,2,13,11700,366,True,True,69277.5,282.0,78296.5,318.7,13.0,False,-1.0,784,19831.4
4,4,3,22,500,2,8,3600,900,True,True,10898.6,44.4,12614.6,51.4,15.7,True,4000.11,784,2478.9
